manufacturer,model_name,model_year,body_type,fuel_type,transmission,power_(bhp),engine_(cc),mileage,kilometers,previous_owners,insurance_type,seats,city,price_in_lakhs_(₹)
Maruti,Baleno,2017,Hatchback,Petrol,Manual,83.1,1197.0,21.4,54024.0,1,third_party_insurance,5,chennai,5.75
Tata,Nexon,2018,SUV,Petrol,Manual,108.5,1198.0,17.0,85941.0,2,third_party_insurance,5,chennai,6.58
Maruti,Celerio X,2018,Hatchback,Petrol,Automatic,67.0,998.0,21.63,89329.0,1,Comprehensive,5,chennai,4.77
Tata,Tiago,2019,Hatchback,Petrol,Manual,84.0,1199.0,23.84,40000.0,2,third_party_insurance,5,chennai,5.0
Maruti,Swift,2017,Hatchback,Petrol,Manual,81.8,1197.0,21.21,17000.0,1,Comprehensive,5,chennai,6.5
Maruti,Ignis,2017,Hatchback,Petrol,Manual,81.8,1197.0,20.89,83887.0,1,Comprehensive,5,chennai,4.55
Hyundai,i20 Active,2015,Hatchback,Diesel,Manual,88.73,1396.0,21.19,150000.0,1,third_party_insurance,5,chennai,4.75
Toyota,Innova Crysta,2021,MUV,Diesel,Automatic,148.0,2393.0,12.0,39000.0,1,Comprehensive,7,chennai,28.0
Hyundai,Verna,2018,Sedan,Petrol,Automatic,121.3,1591.0,17.0,23000.0,1,Comprehensive,5,chennai,9.75
Hyundai,Verna,2017,Sedan,Petrol,Manual,121.3,1591.0,17.0,80000.0,1,third_party_insurance,5,chennai,7.5
Maruti,Celerio,2016,Hatchback,Petrol,Automatic,67.04,998.0,23.1,34000.0,1,Comprehensive,5,chennai,4.85
Maruti,Celerio,2017,Hatchback,Petrol,Manual,67.04,998.0,23.1,29973.0,1,Comprehensive,5,chennai,4.6
Honda,City,2021,Sedan,Petrol,Manual,119.35,1498.0,18.6,30000.0,1,third_party_insurance,5,chennai,12.65
Hyundai,i20 Active,2016,Hatchback,Diesel,Manual,88.73,1396.0,21.19,80805.0,2,Comprehensive,5,chennai,5.67
Tata,Tiago,2020,Hatchback,Petrol,Manual,83.83,1199.0,23.84,26235.0,1,Comprehensive,5,chennai,6.19
Honda,City,2017,Sedan,Petrol,Manual,117.3,1497.0,17.8,95963.0,0,third_party_insurance,5,chennai,6.3
Hyundai,Creta,2018,SUV,Petrol,Manual,121.3,1591.0,15.8,83294.0,1,Comprehensive,5,chennai,8.35
MG,Hector,2021,SUV,Diesel,Manual,167.68,1956.0,17.41,17963.0,2,third_party_insurance,5,chennai,17.03
Maruti,Baleno,2019,Hatchback,Petrol,Manual,83.1,1197.0,21.4,102696.0,1,Comprehensive,5,chennai,6.35
Hyundai,i20,2019,Hatchback,Diesel,Manual,88.76,1396.0,22.54,57206.0,2,Comprehensive,5,chennai,6.35
Ford,Figo,2013,Hatchback,Diesel,Manual,68.05,1399.0,20.0,120000.0,2,third_party_insurance,5,chennai,3.0
Hyundai,i20,2017,Hatchback,Petrol,Manual,81.83,1197.0,18.6,81829.0,1,Comprehensive,5,chennai,6.57
Maruti,Celerio,2014,Hatchback,Petrol,Manual,65.71,998.0,25.24,54395.0,2,third_party_insurance,5,chennai,3.9
Tata,Tigor,2019,Sedan,Diesel,Manual,69.0,1047.0,24.7,50000.0,1,third_party_insurance,5,chennai,6.2
Volkswagen,Ameo,2017,Sedan,Petrol,Manual,73.75,1198.0,17.0,70000.0,2,third_party_insurance,5,chennai,4.65
Hyundai,i20,2015,Hatchback,Petrol,Manual,81.83,1197.0,18.6,36000.0,1,Comprehensive,5,chennai,5.9
Isuzu,MU 7,2016,SUV,Diesel,Manual,161.0,2999.0,12.08,125000.0,2,Comprehensive,7,chennai,9.5
Mercedes-Benz,CLA,2018,Sedan,Diesel,Automatic,136.0,2143.0,17.9,75000.0,2,Comprehensive,5,chennai,21.5
Mercedes-Benz,E-Class,2018,Sedan,Diesel,Automatic,191.76,1950.0,16.1,45007.0,1,Comprehensive,5,chennai,46.0
Honda,Amaze,2016,Sedan,Petrol,Manual,88.76,1199.0,19.5,49617.0,1,Comprehensive,5,chennai,4.9
Toyota,Etios,2016,Sedan,Petrol,Manual,88.73,1496.0,16.78,57782.0,1,Comprehensive,5,chennai,6.2
Skoda,Superb,2015,Sedan,Diesel,Automatic,138.03,1968.0,17.2,38000.0,1,Comprehensive,5,chennai,19.5
BMW,5 Series,2008,Sedan,Diesel,Automatic,231.7852,2993.0,11.5,110000.0,3,third_party_insurance,5,chennai,6.8
Honda,Jazz,2018,Hatchback,Petrol,Manual,88.7,1199.0,18.7,22066.0,2,third_party_insurance,5,chennai,5.94
Hyundai,i20,2016,Hatchback,Petrol,Manual,81.83,1197.0,18.6,65707.0,1,Comprehensive,5,chennai,5.36
Maruti,Celerio,2015,Hatchback,Petrol,Manual,67.04,998.0,23.1,89488.0,1,third_party_insurance,5,chennai,3.65
Maruti,Ignis,2017,Hatchback,Petrol,Automatic,81.8,1197.0,20.89,88663.0,2,Comprehensive,5,chennai,5.44
Tata,Tiago,2020,Hatchback,Petrol,Manual,83.83,1199.0,23.84,31679.0,1,Comprehensive,5,chennai,5.66
Hyundai,Grand i10,2013,Hatchback,Petrol,Manual,82.0,1197.0,18.9,68178.0,1,Comprehensive,5,chennai,4.2
Honda,City,2017,Sedan,Petrol,Manual,117.3,1497.0,17.8,61279.0,2,Comprehensive,5,chennai,7.48
Honda,Amaze,2021,Sedan,Petrol,Manual,88.76,1199.0,18.6,8963.0,1,Comprehensive,5,chennai,8.8
Maruti,Swift Dzire,2017,Sedan,Petrol,Manual,81.8,1197.0,21.21,80281.0,1,third_party_insurance,5,chennai,6.16
MG,Hector,2020,SUV,Petrol,Manual,141.0,1451.0,14.16,50580.0,1,third_party_insurance,5,chennai,15.54
Mini,Cooper,2014,Hatchback,Petrol,Automatic,98.0,1598.0,19.23,21000.0,1,Comprehensive,5,chennai,21.0
Audi,Q3,2016,SUV,Diesel,Automatic,174.33,1968.0,15.73,55000.0,1,Comprehensive,5,chennai,21.75
Mercedes-Benz,GLE,2018,SUV,Diesel,Automatic,201.15,2143.0,17.9,70000.0,2,third_party_insurance,5,chennai,42.0
Audi,Q5,2019,SUV,Petrol,Automatic,248.0,1984.0,8.5,58000.0,1,Comprehensive,5,chennai,43.0
Volkswagen,Vento,2018,Sedan,Petrol,Manual,103.2,1598.0,16.09,65224.0,1,Comprehensive,5,chennai,7.25
Maruti,Ritz,2010,Hatchback,Petrol,Manual,85.8,1197.0,21.1,120000.0,1,third_party_insurance,5,chennai,2.75
BMW,X5,2018,SUV,Diesel,Automatic,258.0,2993.0,15.97,42001.0,1,Comprehensive,5,chennai,57.5
Maruti,Swift Dzire,2017,Sedan,Petrol,Manual,85.8,1197.0,19.0,30316.0,1,Comprehensive,5,chennai,6.35
Mercedes-Benz,E-Class,2013,Sedan,Diesel,Automatic,204.0,2143.0,13.0,64000.0,3,Comprehensive,5,chennai,18.0
Volvo,S60,2015,Sedan,Diesel,Automatic,181.0,1984.0,9.0,40000.0,1,Comprehensive,5,chennai,19.0
Maruti,Swift,2017,Hatchback,Petrol,Manual,88.5,1197.0,22.38,100526.0,1,Comprehensive,5,chennai,5.1
Maruti,Swift,2021,Hatchback,Petrol,Manual,88.5,1197.0,22.38,17273.0,1,Comprehensive,5,chennai,8.17
Maruti,SX4 S Cross,2018,SUV,Diesel,Manual,88.5,1248.0,23.65,107737.0,1,third_party_insurance,5,chennai,8.5
Ford,Ecosport,2016,SUV,Petrol,Manual,110.4,1499.0,15.85,111586.0,2,Comprehensive,5,chennai,5.39
Maruti,Baleno,2017,Hatchback,Petrol,Automatic,83.1,1197.0,21.4,73369.0,2,third_party_insurance,5,chennai,5.38
Maruti,Alto,2012,Hatchback,Petrol,Manual,46.3,796.0,19.7,63697.0,1,Comprehensive,5,chennai,2.35
Hyundai,i20,2018,Hatchback,Petrol,Manual,81.83,1197.0,18.6,45224.0,1,Comprehensive,5,chennai,6.66
Ford,Figo,2010,Hatchback,Diesel,Manual,68.0,1399.0,20.0,110701.0,2,Comprehensive,5,chennai,2.1
Maruti,Wagon R,2016,Hatchback,Petrol,Manual,67.04,998.0,20.51,49124.0,2,third_party_insurance,5,chennai,4.13
Maruti,Swift Dzire,2016,Sedan,Petrol,Manual,88.5,1197.0,22.41,96861.0,1,Comprehensive,5,chennai,5.05
Hyundai,i10,2009,Hatchback,Petrol,Manual,78.9,1197.0,20.36,64636.0,2,Comprehensive,5,chennai,3.0
Audi,A6,2014,Sedan,Diesel,Automatic,174.33,1968.0,17.68,134000.0,1,third_party_insurance,5,chennai,8.9
Maruti,800,2002,Hatchback,Petrol,Manual,37.0,796.0,16.1,20000.0,1,Comprehensive,4,chennai,1.4
Renault,Kiger,2022,SUV,Petrol,Automatic,71.01,999.0,19.03,14118.0,1,Comprehensive,5,chennai,8.1
Jeep,Meridian,2023,SUV,Diesel,Automatic,172.35,1956.0,15.7,1200.0,1,Comprehensive,7,chennai,41.0
Ford,Ecosport,2018,SUV,Petrol,Automatic,121.36,1497.0,14.8,36000.0,2,Comprehensive,5,chennai,7.25
Skoda,Kushaq,2022,SUV,Petrol,Automatic,113.98,999.0,17.2,10000.0,1,Comprehensive,5,chennai,17.55
Kia,Seltos,2019,SUV,Petrol,Manual,113.43,1497.0,16.8,50000.0,1,third_party_insurance,5,chennai,10.5
Toyota,Urban cruiser,2021,SUV,Petrol,Manual,103.26,1462.0,17.03,30000.0,1,third_party_insurance,5,chennai,10.0
Skoda,Rapid,2018,Sedan,Petrol,Automatic,103.2,1598.0,14.84,29000.0,1,third_party_insurance,5,chennai,8.5
Hyundai,i20,2014,Hatchback,Petrol,Manual,81.83,1197.0,18.6,55940.0,2,third_party_insurance,5,chennai,5.08
Honda,City,2018,Sedan,Diesel,Manual,97.9,1498.0,25.6,115915.0,2,third_party_insurance,5,chennai,8.51
Renault,KWID,2022,Hatchback,Petrol,Automatic,67.06,999.0,22.3,1000.0,1,Comprehensive,5,chennai,6.25
Honda,Jazz,2016,Hatchback,Petrol,Automatic,88.7,1199.0,19.0,96184.0,2,Comprehensive,5,chennai,5.6
Hyundai,i10,2014,Hatchback,Petrol,Manual,68.05,1086.0,19.81,87780.0,1,Comprehensive,5,chennai,3.35
Hyundai,i20,2015,Hatchback,Petrol,Manual,81.83,1197.0,18.6,118921.0,1,Comprehensive,5,chennai,4.45
Ford,Ecosport,2019,SUV,Diesel,Manual,98.96,1498.0,23.0,73834.0,2,Comprehensive,5,chennai,8.3
Mahindra,Thar,2022,SUV,Diesel,Automatic,130.0,2184.0,15.748,20000.0,1,Comprehensive,4,chennai,17.9
Maruti,Baleno,2016,Hatchback,Petrol,Manual,83.1,1197.0,21.4,38514.0,1,Comprehensive,5,chennai,6.3
Maruti,Swift Dzire,2016,Sedan,Petrol,Manual,88.5,1197.0,22.41,74401.0,2,Comprehensive,5,chennai,5.27
Hyundai,Creta,2020,SUV,Petrol,Automatic,138.12,1353.0,16.8,40000.0,1,third_party_insurance,5,chennai,13.2
Maruti,Swift,2022,Hatchback,Petrol,Manual,88.5,1197.0,22.38,9000.0,1,Comprehensive,5,chennai,8.6
Hyundai,Creta,2017,SUV,Petrol,Manual,121.3,1591.0,15.29,50000.0,1,third_party_insurance,5,chennai,7.66
Maruti,Swift Dzire,2020,Sedan,Petrol,Manual,88.5,1197.0,22.41,40000.0,1,third_party_insurance,5,chennai,6.1
Skoda,Rapid,2015,Sedan,Diesel,Automatic,103.52,1498.0,21.66,80000.0,3,third_party_insurance,5,chennai,4.75
Hyundai,Grand i10,2014,Hatchback,Petrol,Manual,82.0,1197.0,18.9,82000.0,2,third_party_insurance,5,chennai,3.9
Hyundai,Aura,2020,Sedan,Petrol,Automatic,81.86,1197.0,20.1,32947.0,1,Comprehensive,5,chennai,6.8
Jeep,Meridian,2022,SUV,Diesel,Manual,172.35,1956.0,15.7,9000.0,1,Comprehensive,7,chennai,31.5
Hyundai,Verna,2018,Sedan,Petrol,Manual,121.3,1591.0,17.0,25000.0,1,Comprehensive,5,chennai,8.55
Maruti,XL6,2022,MUV,Petrol,Manual,103.2,1462.0,19.01,10000.0,1,third_party_insurance,6,chennai,12.0
Skoda,Slavia,2022,Sedan,Petrol,Manual,147.52,1498.0,18.72,8413.0,1,zero_depreciation,5,chennai,17.86
Hyundai,i20,2016,Hatchback,Petrol,Manual,81.83,1197.0,18.6,34460.0,1,Comprehensive,5,chennai,6.14
Maruti,Swift Dzire,2010,Sedan,Petrol,Manual,85.8,1298.0,17.5,33886.0,1,Comprehensive,5,chennai,3.4
Hyundai,i20 Active,2016,Hatchback,Petrol,Manual,81.86,1197.0,17.19,57910.0,2,third_party_insurance,5,chennai,5.58
Renault,Triber,2020,MUV,Petrol,Manual,71.01,999.0,20.0,46233.0,2,Comprehensive,7,chennai,6.5
Honda,City,2017,Sedan,Petrol,Automatic,119.35,1498.0,18.3,60000.0,1,Comprehensive,5,chennai,9.5
Maruti,Swift,2021,Hatchback,Petrol,Manual,88.5,1197.0,22.38,48979.0,1,third_party_insurance,5,chennai,7.1
MG,Hector,2019,SUV,Petrol,Automatic,141.0,1451.0,13.96,42000.0,1,Comprehensive,5,chennai,17.0
Ford,Ecosport,2016,SUV,Diesel,Manual,98.59,1498.0,22.77,106165.0,1,Comprehensive,5,chennai,6.84
Datsun,RediGO,2018,Hatchback,Petrol,Manual,53.64,799.0,22.7,91261.0,1,third_party_insurance,5,chennai,3.09
Maruti,Celerio,2018,Hatchback,Petrol,Manual,67.05,998.0,21.63,36711.0,1,Comprehensive,5,chennai,5.0
BMW,3 Series Gran Limousine,2021,Sedan,Petrol,Automatic,254.79,1998.0,15.3,9000.0,1,Comprehensive,5,chennai,55.0
Maruti,Baleno,2018,Hatchback,Petrol,Manual,83.1,1197.0,21.4,30428.0,0,third_party_insurance,5,chennai,6.5
Renault,KWID,2018,Hatchback,Petrol,Manual,67.0,999.0,23.01,49791.0,1,Comprehensive,5,chennai,3.6
MG,Hector Plus,2021,SUV,Diesel,Manual,167.67,1956.0,16.65,40000.0,1,third_party_insurance,6,chennai,18.75
Hyundai,Xcent,2014,Sedan,Petrol,Manual,82.0,1197.0,19.1,40000.0,2,third_party_insurance,5,chennai,4.5
Maruti,Baleno,2018,Hatchback,Petrol,Automatic,83.1,1197.0,21.4,50000.0,2,third_party_insurance,5,chennai,6.6
Maruti,Vitara Brezza,2019,SUV,Diesel,Manual,88.5,1248.0,24.3,60000.0,1,third_party_insurance,5,chennai,9.5
Volkswagen,Ameo,2017,Sedan,Petrol,Manual,74.0,1198.0,17.0,60000.0,1,third_party_insurance,5,chennai,5.0
Ford,Endeavour,2017,SUV,Diesel,Automatic,158.0,2198.0,12.62,70000.0,1,third_party_insurance,7,chennai,23.9
Maruti,Wagon R,2014,Hatchback,Petrol,Manual,67.04,998.0,20.51,107158.0,2,third_party_insurance,5,chennai,3.61
Hyundai,Grand i10,2019,Hatchback,Petrol,Manual,81.86,1197.0,18.9,90811.0,1,third_party_insurance,5,chennai,5.49
Ford,Figo,2012,Hatchback,Petrol,Manual,70.0,1196.0,15.6,76454.0,3,Comprehensive,5,chennai,2.1
Maruti,Swift,2021,Hatchback,Petrol,Manual,88.5,1197.0,22.38,57464.0,1,third_party_insurance,5,chennai,7.04
Honda,Amaze,2019,Sedan,Petrol,Manual,88.76,1199.0,19.5,95072.0,1,Comprehensive,5,chennai,7.29
Honda,City,2014,Sedan,Petrol,Automatic,117.3,1497.0,18.0,51789.0,1,Comprehensive,5,chennai,7.0
Hyundai,i20,2018,Hatchback,Petrol,Manual,81.83,1197.0,18.6,56028.0,2,third_party_insurance,5,chennai,6.19
Honda,City,2017,Sedan,Petrol,Manual,117.3,1497.0,17.8,60000.0,1,third_party_insurance,5,chennai,7.25
Hyundai,Grand i10 Nios,2020,Hatchback,Petrol,Manual,81.86,1197.0,20.7,36460.0,1,zero_depreciation,5,chennai,6.21
Honda,Amaze,2020,Sedan,Petrol,Manual,88.76,1199.0,19.5,103249.0,1,zero_depreciation,5,chennai,6.85
Honda,City,2021,Sedan,Petrol,Manual,119.35,1498.0,18.6,45568.0,1,third_party_insurance,5,chennai,9.5
Ford,Endeavour,2017,SUV,Diesel,Automatic,158.0,2198.0,12.62,130000.0,1,Comprehensive,7,chennai,18.5
MG,Hector Plus,2021,SUV,Diesel,Manual,167.67,1956.0,16.65,60000.0,1,third_party_insurance,6,chennai,18.5
Skoda,Rapid,2013,Sedan,Diesel,Manual,103.5,1598.0,20.5,100521.0,1,Comprehensive,5,chennai,4.1
Volkswagen,Ameo,2019,Sedan,Petrol,Manual,75.0,999.0,19.44,42709.0,1,Comprehensive,5,chennai,5.7
Mahindra,TUV 300,2016,SUV,Diesel,Manual,100.0,1493.0,18.49,150000.0,2,third_party_insurance,7,chennai,5.5
Honda,City,2015,Sedan,Petrol,Manual,117.3,1497.0,17.4,100000.0,1,third_party_insurance,5,chennai,6.0
Volkswagen,Jetta,2009,Sedan,Diesel,Manual,103.5636,1896.0,15.0,120000.0,3,third_party_insurance,5,chennai,2.26
Hyundai,Elantra,2018,Sedan,Petrol,Automatic,149.92,1999.0,14.62,30000.0,1,Comprehensive,5,chennai,13.5
BMW,3 Series,2016,Sedan,Diesel,Automatic,190.0,1995.0,22.69,70000.0,1,third_party_insurance,5,chennai,26.0
Hyundai,Grand i10,2014,Hatchback,Petrol,Manual,82.0,1197.0,18.9,104279.0,1,third_party_insurance,5,chennai,3.65
Hyundai,i20 Active,2018,Hatchback,Petrol,Manual,81.86,1197.0,17.19,73321.0,1,Comprehensive,5,chennai,7.07
Hyundai,Verna,2017,Sedan,Petrol,Manual,121.3,1591.0,17.0,50000.0,1,third_party_insurance,5,chennai,8.0
Hyundai,Santro,2018,Hatchback,Petrol,Manual,68.0,1086.0,20.3,34279.0,1,zero_depreciation,5,chennai,5.2
Hyundai,i20,2016,Hatchback,Petrol,Manual,81.83,1197.0,18.6,55040.0,2,Comprehensive,5,chennai,6.02
Hyundai,Verna,2018,Sedan,Diesel,Automatic,126.2,1582.0,22.0,39000.0,2,Comprehensive,5,chennai,10.5
Hyundai,i20,2014,Hatchback,Diesel,Manual,88.73,1396.0,22.54,104336.0,2,Comprehensive,5,chennai,5.46
Volvo,S90,2019,Sedan,Diesel,Automatic,190.0,1969.0,18.0,45000.0,3,Comprehensive,5,chennai,34.75
Honda,City,2020,Sedan,Petrol,Manual,119.35,1498.0,18.6,69617.0,1,third_party_insurance,5,chennai,11.88
Hyundai,i20,2016,Hatchback,Petrol,Manual,81.83,1197.0,18.6,47429.0,1,Comprehensive,5,chennai,6.21
Maruti,Swift,2015,Hatchback,Petrol,Manual,81.8,1197.0,21.21,67000.0,1,Comprehensive,5,chennai,5.15
Volkswagen,Polo,2016,Hatchback,Petrol,Manual,74.0,1199.0,16.2,80000.0,1,third_party_insurance,5,chennai,6.0
Volkswagen,Polo,2018,Hatchback,Petrol,Manual,75.0,999.0,18.78,27000.0,1,Comprehensive,5,chennai,7.75
Ford,Ecosport,2016,SUV,Diesel,Manual,98.59,1498.0,22.77,56000.0,2,Comprehensive,5,chennai,6.45
Honda,Amaze,2018,Sedan,Petrol,Manual,88.76,1199.0,18.6,33379.0,1,Comprehensive,5,chennai,6.5
Maruti,Ciaz,2017,Sedan,Diesel,Manual,88.5,1248.0,28.09,80000.0,1,third_party_insurance,5,chennai,7.0
Hyundai,Xcent,2016,Sedan,Petrol,Manual,82.0,1197.0,19.1,90000.0,1,third_party_insurance,5,chennai,4.37
Hyundai,Xcent,2015,Sedan,Petrol,Manual,82.0,1197.0,19.1,50197.0,1,third_party_insurance,5,chennai,4.6
Hyundai,Accent,2012,Sedan,Petrol,Manual,93.7,1495.0,16.36,80000.0,2,third_party_insurance,5,chennai,2.5
Honda,Jazz,2016,Hatchback,Petrol,Manual,88.7,1199.0,18.7,60611.0,0,third_party_insurance,5,chennai,5.2
Ford,Ecosport,2017,SUV,Petrol,Manual,110.4,1499.0,15.85,61120.0,3,third_party_insurance,5,chennai,5.66
Renault,KWID,2019,Hatchback,Petrol,Manual,67.0,999.0,23.01,55415.0,1,third_party_insurance,5,chennai,4.03
Jaguar,F-Pace,2018,SUV,Diesel,Automatic,177.0,1999.0,16.38,52000.0,1,Comprehensive,5,chennai,49.5
Honda,Jazz,2015,Hatchback,Petrol,Manual,88.7,1199.0,18.7,48579.0,1,Comprehensive,5,chennai,5.17
Hyundai,Xcent,2016,Sedan,Petrol,Manual,82.0,1197.0,19.1,59532.0,2,third_party_insurance,5,chennai,4.49
Honda,City,2014,Sedan,Petrol,Manual,116.38575999999999,1497.0,17.0,200300.0,2,Comprehensive,5,chennai,4.55
Volkswagen,Jetta,2014,Sedan,Petrol,Manual,120.3,1390.0,14.69,113231.0,1,third_party_insurance,5,chennai,6.43
Mahindra,TUV 300,2018,SUV,Diesel,Manual,100.0,1493.0,18.49,106338.0,2,Comprehensive,7,chennai,7.05
Tata,Altroz,2021,Hatchback,Diesel,Manual,88.77,1497.0,23.64,40629.0,1,third_party_insurance,5,chennai,8.89
Maruti,Swift Dzire,2016,Sedan,Diesel,Automatic,74.0,1248.0,26.59,73341.0,2,third_party_insurance,5,chennai,6.21
BMW,3 Series,2011,Sedan,Diesel,Automatic,190.0,1995.0,22.69,39001.0,2,Comprehensive,5,chennai,14.0
Honda,City,2014,Sedan,Petrol,Manual,117.6,1497.0,17.4,81532.0,1,Comprehensive,5,chennai,6.3
Honda,City,2015,Sedan,Petrol,Manual,117.6,1497.0,17.4,108818.0,1,third_party_insurance,5,chennai,5.3
Maruti,Baleno,2017,Hatchback,Petrol,Manual,81.8,1197.0,21.01,35419.0,1,third_party_insurance,5,chennai,6.78
Mercedes-Benz,C-Class,2011,Sedan,Diesel,Automatic,201.15,2143.0,19.71,80000.0,2,third_party_insurance,5,chennai,12.0
Renault,Fluence,2014,Sedan,Diesel,Manual,108.45,1461.0,20.4,100000.0,2,third_party_insurance,5,chennai,5.24
Audi,A4,2014,Sedan,Diesel,Automatic,174.33,1968.0,17.11,12000.0,1,Comprehensive,5,chennai,21.5
Hyundai,Verna,2011,Sedan,Diesel,Manual,126.32,1582.0,22.32,70001.0,1,Comprehensive,5,chennai,6.75
Hyundai,Xcent,2014,Sedan,Diesel,Manual,71.01,1120.0,24.4,61331.0,1,Comprehensive,5,chennai,4.7
Honda,Amaze,2014,Sedan,Diesel,Manual,98.6,1498.0,25.8,51438.0,1,third_party_insurance,5,chennai,5.3
Hyundai,Santro,2019,Hatchback,Petrol,Manual,68.0,1086.0,20.3,67988.0,1,Comprehensive,5,chennai,4.63
Honda,Jazz,2019,Hatchback,Petrol,Automatic,88.7,1199.0,18.2,36032.0,2,zero_depreciation,5,chennai,7.27
Honda,City,2015,Sedan,Petrol,Manual,117.6,1497.0,17.4,114883.0,1,Comprehensive,5,chennai,5.15
Maruti,Swift Dzire,2016,Sedan,Petrol,Manual,88.5,1197.0,22.41,88584.0,1,zero_depreciation,5,chennai,5.47
Maruti,Ritz,2012,Hatchback,Diesel,Manual,73.94,1248.0,23.2,97419.0,2,third_party_insurance,5,chennai,3.07
BMW,X3,2019,SUV,Petrol,Automatic,248.08,1998.0,13.17,70000.0,1,third_party_insurance,5,chennai,48.0
Ford,Ecosport,2015,SUV,Diesel,Manual,89.84,1498.0,22.7,106498.0,2,Comprehensive,5,chennai,5.29
Maruti,Swift,2016,Hatchback,Diesel,Manual,74.0,1248.0,25.2,68177.0,2,Comprehensive,5,chennai,6.24
Skoda,Slavia,2022,Sedan,Petrol,Manual,147.52,1498.0,18.72,27524.0,1,zero_depreciation,5,chennai,18.16
Maruti,SX4 S Cross,2017,SUV,Diesel,Manual,88.5,1248.0,23.65,75471.0,1,Comprehensive,5,chennai,8.5
Honda,Amaze,2021,Sedan,Petrol,Manual,88.5,1199.0,18.6,8000.0,1,Comprehensive,5,chennai,7.45
Kia,Carens,2022,MUV,Petrol,Automatic,157.81,1482.0,16.366666666666667,13200.0,1,Comprehensive,6,chennai,16.9
Hyundai,Creta,2021,SUV,Petrol,Manual,113.18,1497.0,16.65796052631579,20000.0,1,third_party_insurance,5,chennai,11.5
Citroen,C5 Aircross,2022,SUV,Diesel,Automatic,174.0,1997.0,18.6,20000.0,1,third_party_insurance,5,chennai,30.0
Maruti,Alto K10,2017,Hatchback,Petrol,Manual,67.05,998.0,23.95,60730.0,1,Comprehensive,5,chennai,3.1
Maruti,Swift Dzire,2016,Sedan,Petrol,Manual,83.14,1197.0,20.85,44494.0,2,Comprehensive,5,chennai,4.95
Maruti,Ertiga,2017,MUV,Petrol,Manual,91.1,1373.0,17.5,20000.0,1,third_party_insurance,7,chennai,8.0
Tata,Nexon,2019,SUV,Diesel,Automatic,108.5,1497.0,21.5,45673.0,1,Comprehensive,5,chennai,8.25
Toyota,Fortuner,2020,SUV,Diesel,Manual,174.5,2755.0,14.24,26000.0,1,Comprehensive,7,chennai,35.75
Hyundai,Verna,2017,Sedan,Petrol,Manual,121.3,1591.0,17.01,51878.0,1,third_party_insurance,5,chennai,7.74
Nissan,Micra,2017,Hatchback,Petrol,Automatic,75.94,1198.0,19.15,56747.0,1,third_party_insurance,5,chennai,5.25
Maruti,Swift,2018,Hatchback,Petrol,Manual,81.8,1197.0,20.4,38000.0,1,Comprehensive,5,chennai,6.0
Hyundai,i20,2016,Hatchback,Petrol,Manual,81.83,1197.0,18.6,76457.0,2,zero_depreciation,5,chennai,5.82
Honda,Jazz,2017,Hatchback,Petrol,Manual,88.7,1199.0,18.7,78880.0,2,Comprehensive,5,chennai,5.51
Maruti,Swift Dzire,2015,Sedan,Petrol,Manual,83.14,1197.0,20.85,19593.0,1,Comprehensive,5,chennai,5.25
Hyundai,i20,2016,Hatchback,Petrol,Manual,81.83,1197.0,18.6,84429.0,1,zero_depreciation,5,chennai,5.83
Hyundai,i20,2021,Hatchback,Diesel,Manual,98.63,1493.0,25.0,27599.0,1,third_party_insurance,5,chennai,8.25
Renault,Triber,2020,MUV,Petrol,Manual,71.01,999.0,20.0,76898.0,1,zero_depreciation,7,chennai,6.7
Volkswagen,Polo,2013,Hatchback,Petrol,Manual,73.9,1198.0,16.47,119070.0,2,Comprehensive,5,chennai,3.96
Tata,Indica,2004,Hatchback,Diesel,Manual,69.0,1405.0,13.5,120000.0,2,third_party_insurance,5,chennai,0.49
Maruti,Swift Dzire,2017,Sedan,Petrol,Manual,83.14,1197.0,20.85,32199.0,1,third_party_insurance,5,chennai,5.9
Tata,Tiago,2016,Hatchback,Petrol,Manual,84.0,1199.0,23.84,85607.0,1,Comprehensive,5,chennai,4.0
Maruti,Baleno,2019,Hatchback,Petrol,Manual,83.1,1197.0,21.4,30000.0,1,third_party_insurance,5,chennai,7.0
Mahindra,TUV 300,2017,SUV,Diesel,Manual,100.0,1493.0,18.49,80000.0,1,third_party_insurance,7,chennai,7.0
Mahindra,Scorpio,2019,SUV,Diesel,Manual,136.78,2179.0,13.694848484848485,1200000.0,1,Comprehensive,7,chennai,11.5
Honda,Jazz,2016,Hatchback,Petrol,Automatic,88.7,1199.0,19.0,45429.0,1,Comprehensive,5,chennai,5.95
Renault,KWID,2019,Hatchback,Petrol,Manual,53.26,799.0,22.25,9000.0,1,Comprehensive,5,chennai,4.6
Maruti,Alto 800,2019,Hatchback,Petrol,Manual,47.3,796.0,24.7,31000.0,1,Comprehensive,5,chennai,3.95
Volkswagen,Polo,2013,Hatchback,Diesel,Manual,88.8,1498.0,20.14,81488.0,1,Comprehensive,5,chennai,4.35
Volkswagen,Polo,2019,Hatchback,Petrol,Manual,75.0,999.0,18.78,94439.0,1,third_party_insurance,5,chennai,6.66
Maruti,Swift,2013,Hatchback,Petrol,Manual,88.5,1197.0,22.38,98481.0,3,third_party_insurance,5,chennai,3.8
