manufacturer,model_name,model_year,body_type,fuel_type,transmission,power_(bhp),engine_(cc),mileage,kilometers,previous_owners,insurance_type,seats,city,price_in_lakhs_(₹)
Mini,3 DOOR,2016,Hatchback,Petrol,Automatic,189.08,1998.0,17.33,40000.0,1,Comprehensive,4,bangalore,36.75
Tata,Tiago,2019,Hatchback,Petrol,Manual,83.83,1199.0,23.84,60932.0,1,Comprehensive,5,bangalore,6.1
Kia,Seltos,2020,SUV,Petrol,Automatic,138.08,1353.0,16.5,33539.0,2,Comprehensive,5,bangalore,16.75
Tata,Tiago,2018,Hatchback,Petrol,Manual,84.0,1199.0,23.84,66837.0,2,Comprehensive,5,bangalore,5.3
Mercedes-Benz,E-Class,2022,Sedan,Diesel,Automatic,281.61,2925.0,14.107272727272727,400.0,1,third_party_insurance,5,bangalore,79.9
Maruti,Alto,2008,Hatchback,Petrol,Manual,46.3,796.0,19.7,60000.0,2,third_party_insurance,5,bangalore,2.5
Hyundai,i20,2019,Hatchback,Petrol,Manual,81.86,1197.0,18.6,44285.0,1,third_party_insurance,5,bangalore,7.15
Mercedes-Benz,GL-Class,2014,SUV,Diesel,Automatic,254.8,2987.0,11.3,100000.0,2,third_party_insurance,7,bangalore,35.0
Tata,New Safari,2021,SUV,Diesel,Automatic,167.67,1956.0,14.08,25000.0,1,Comprehensive,6,bangalore,22.5
Hyundai,Grand i10,2018,Hatchback,Petrol,Manual,81.86,1197.0,18.9,36735.0,1,Comprehensive,5,bangalore,6.25
Audi,Q7,2015,SUV,Diesel,Automatic,241.4,2967.0,12.07,79000.0,1,Comprehensive,7,bangalore,26.95
Mahindra,Scorpio,2010,SUV,Diesel,Manual,120.0,2179.0,12.05,120000.0,2,third_party_insurance,8,bangalore,6.5
Renault,KWID,2022,Hatchback,Petrol,Automatic,67.0,999.0,22.0,10000.0,1,third_party_insurance,5,bangalore,5.5
Tata,Nexon,2018,SUV,Diesel,Manual,108.5,1497.0,21.5,53645.0,1,Comprehensive,5,bangalore,8.25
Hyundai,Getz,2006,Hatchback,Petrol,Manual,81.86456,1341.0,15.3,100000.0,2,third_party_insurance,5,bangalore,2.2
Maruti,Celerio,2014,Hatchback,Petrol,Automatic,65.71,998.0,26.68,53982.0,1,Comprehensive,5,bangalore,4.28
Skoda,Rapid,2014,Sedan,Diesel,Manual,103.52,1498.0,21.14,110000.0,1,third_party_insurance,5,bangalore,6.95
Ford,Ecosport,2019,SUV,Petrol,Manual,120.69,1496.0,15.9,37741.0,2,third_party_insurance,5,bangalore,9.3
Maruti,Alto 800,2021,Hatchback,Petrol,Manual,47.33,796.0,22.05,17367.0,1,Comprehensive,5,bangalore,4.55
Hyundai,Creta,2017,SUV,Diesel,Manual,126.2,1582.0,19.67,94000.0,1,Comprehensive,5,bangalore,11.95
Tata,Harrier,2021,SUV,Diesel,Automatic,167.67,1956.0,14.6,33700.0,1,Comprehensive,5,bangalore,21.75
Maruti,Swift,2014,Hatchback,Petrol,Manual,88.5,1197.0,22.38,54601.0,3,Comprehensive,5,bangalore,4.42
Maruti,Swift,2018,Hatchback,Diesel,Manual,74.0,1248.0,28.4,110000.0,1,third_party_insurance,5,bangalore,6.9
Maruti,Celerio,2017,Hatchback,Petrol,Manual,67.04,998.0,23.1,64000.0,2,third_party_insurance,5,bangalore,5.0
BMW,3 Series GT,2016,Sedan,Diesel,Automatic,188.0,1995.0,21.76,40525.0,1,Comprehensive,5,bangalore,33.95
Maruti,Ciaz,2015,Sedan,Diesel,Manual,88.5,1248.0,26.21,100000.0,1,third_party_insurance,5,bangalore,6.5
Honda,Jazz,2016,Hatchback,Petrol,Automatic,88.7,1199.0,19.0,44154.0,2,Comprehensive,5,bangalore,5.37
